hour2;workdayDE;Saturday;dt;temp.c;p.clouds
23;1;0;2014-04-28 23:00:00;13.05;0
0;1;0;2014-04-29 00:00:00;12.15;0
1;1;0;2014-04-29 01:00:00;11.28;0
2;1;0;2014-04-29 02:00:00;10.12;0
3;1;0;2014-04-29 03:00:00;9.17;0
4;1;0;2014-04-29 04:00:00;8.45;0
5;1;0;2014-04-29 05:00:00;8.04;0
6;1;0;2014-04-29 06:00:00;8.17;0
7;1;0;2014-04-29 07:00:00;9.67;0
8;1;0;2014-04-29 08:00:00;12.19;0
9;1;0;2014-04-29 09:00:00;16.01;20
10;1;0;2014-04-29 10:00:00;18.67;0
11;1;0;2014-04-29 11:00:00;19.52;0
12;1;0;2014-04-29 12:00:00;20.57;0
13;1;0;2014-04-29 13:00:00;20.75;0
14;1;0;2014-04-29 14:00:00;21.54;0
15;1;0;2014-04-29 15:00:00;22.18;0
